x;y;dX;dY;grounded;jumping;doubleJumping;wallJumpingLeft;wallJumpingRight;wallJumping;collision.left;collision.right;collision.top;collision.bottom 
749;690.7750000000003;9;29.050000000000026;false;false;false;false;false;false;false;false;false;true
1550;594.4200000000002;9;19.24000000000001;false;false;false;false;false;false;false;false;false;true
1550;593.4770000000002;8.9;18.29700000000001;false;false;false;false;false;false;false;false;false;true
1550;592.6283000000002;8.81;17.448300000000014;false;false;false;false;false;false;false;false;false;true
1550;591.8644700000002;8.729000000000001;16.684470000000015;false;false;false;false;false;false;false;false;false;true
1550;591.1770230000002;8.656100000000002;15.997023000000015;false;false;false;false;false;false;false;false;false;true
1550;590.5583207000002;8.590490000000003;15.378320700000014;false;false;false;false;false;false;false;false;false;true
1550;590.0014886300002;8.531441000000003;14.821488630000013;false;false;false;false;false;false;false;false;false;true
2427;494.4200000000002;-0.2855899999999989;19.24000000000001;false;false;false;false;false;false;false;false;false;true
2426;493.4770000000002;-1.057030999999999;18.29700000000001;false;false;false;false;false;false;false;false;false;true
2425;492.6283000000002;-1.7513278999999993;17.448300000000014;false;false;false;false;false;false;false;false;false;true
2424;491.8644700000002;-2.3761951099999994;16.684470000000015;false;false;false;false;false;false;false;false;false;true
2423;491.1770230000002;-2.938575599;15.997023000000015;false;false;false;false;false;false;false;false;false;true
2422;490.5583207000002;-3.4447180391000005;15.378320700000014;false;false;false;false;false;false;false;false;false;true
2422;490.0014886300002;-3.900246235190001;14.821488630000013;false;false;false;false;false;false;false;false;false;true
2073;494.4200000000002;-9;19.24000000000001;false;false;false;false;false;false;false;false;false;true
2073;493.4770000000002;-8.9;18.29700000000001;false;false;false;false;false;false;false;false;false;true
2073;492.6283000000002;-8.81;17.448300000000014;false;false;false;false;false;false;false;false;false;true
2073;491.8644700000002;-8.729000000000001;16.684470000000015;false;false;false;false;false;false;false;false;false;true
2073;491.1770230000002;-8.656100000000002;15.997023000000015;false;false;false;false;false;false;false;false;false;true
2073;490.5583207000002;-8.590490000000003;15.378320700000014;false;false;false;false;false;false;false;false;false;true
2073;490.0014886300002;-8.531441000000003;14.821488630000013;false;false;false;false;false;false;false;false;false;true
1992;480.981;-9;0.9810000000000001;false;false;false;false;false;false;false;false;false;true
1992;481.8639;-8.9;1.8639000000000001;false;false;false;false;false;false;false;false;false;true
1992;482.65851;-8.81;2.65851;false;false;false;false;false;false;false;false;false;true
1992;483.373659;-8.729000000000001;3.373659;false;false;false;false;false;false;false;false;false;true
1992;484.0172931;-8.656100000000002;4.0172931;false;false;false;false;false;false;false;false;false;true
1992;484.59656379;-8.590490000000003;4.59656379;false;false;false;false;false;false;false;false;false;true
